issn_l,cr_year,n,h2020_n,prop
1055-6656,2020,250,1,0.004
1741-2552,2018,250,15,0.06
1383-469X,2019,250,1,0.004
0001-6349,2019,250,2,0.008
0909-0495,2019,249,12,0.04819277108433735
2040-2503,2018,249,3,0.012048192771084338
0004-0002,2019,249,0,0
2573-0142,2019,249,5,0.020080321285140562
2212-134X,2020,249,0,0
1022-9760,2018,248,0,0
1671-4083,2020,248,0,0
0272-8397,2019,248,0,0
0040-5175,2019,248,1,0.004032258064516129
1613-4125,2019,248,1,0.004032258064516129
0941-293X,2020,248,0,0
0090-6964,2019,248,4,0.016129032258064516
1944-7442,2019,248,0,0
1618-5641,2018,248,0,0
0145-8892,2018,248,0,0
0950-382X,2018,248,4,0.016129032258064516
0301-0449,2019,248,0,0
1674-7305,2020,247,0,0
0031-6970,2020,247,1,0.004048582995951417
1320-5358,2018,247,0,0
0364-5134,2018,247,4,0.016194331983805668
1388-9842,2018,247,1,0.004048582995951417
0077-8923,2020,247,6,0.024291497975708502
1129-7298,2020,247,0,0
1535-3699,2020,247,1,0.004048582995951417
1047-9511,2018,247,0,0
1527-6465,2020,247,3,0.012145748987854251
0954-4070,2020,247,3,0.012145748987854251
1055-6656,2018,247,0,0
0308-0110,2019,247,0,0
0723-4864,2020,247,9,0.03643724696356275
0344-5704,2018,247,0,0
1633-8065,2018,247,0,0
0377-0486,2019,247,4,0.016194331983805668
1828-0447,2019,246,0,0
0937-9827,2019,246,2,0.008130081300813009
1672-7681,2020,246,6,0.024390243902439025
0364-3190,2020,246,2,0.008130081300813009
1752-0894,2018,246,12,0.04878048780487805
0002-9483,2018,246,4,0.016260162601626018
2058-7546,2018,246,13,0.052845528455284556
0145-6008,2020,246,0,0
0256-307X,2019,246,0,0
1039-8562,2020,246,0,0
0165-5701,2018,245,0,0
0145-8884,2018,245,0,0
1071-1007,2020,245,0,0
1699-048X,2020,245,1,0.004081632653061225
0364-5134,2019,245,7,0.02857142857142857
0960-1317,2018,245,5,0.02040816326530612
1930-7381,2018,245,1,0.004081632653061225
1611-3683,2020,245,3,0.012244897959183673
0001-5970,2019,244,1,0.004098360655737705
0192-8651,2019,244,5,0.020491803278688523
1001-604X,2020,244,0,0
0090-6964,2020,244,6,0.02459016393442623
0001-5172,2018,244,0,0
0929-1873,2018,244,3,0.012295081967213115
0946-2171,2019,243,7,0.02880658436213992
0017-8748,2019,243,1,0.00411522633744856
1447-0594,2018,243,1,0.00411522633744856
0961-2033,2018,243,1,0.00411522633744856
0020-7640,2020,243,0,0
0305-0270,2020,243,4,0.01646090534979424
1059-7794,2019,243,10,0.0411522633744856
1438-7492,2020,243,6,0.024691358024691357
1699-048X,2019,243,1,0.00411522633744856
2366-9608,2018,243,10,0.0411522633744856
0364-216X,2018,243,0,0
1041-6102,2020,243,0,0
2058-5276,2018,242,21,0.08677685950413223
1434-6060,2020,242,8,0.03305785123966942
1756-1841,2020,242,0,0
0026-9298,2020,242,0,0
1751-7362,2019,242,20,0.08264462809917356
1022-5528,2018,242,11,0.045454545454545456
0002-1962,2019,242,0,0
0022-2291,2020,242,12,0.049586776859504134
0003-598X,2020,242,4,0.01652892561983471
0961-8368,2019,242,2,0.008264462809917356
0022-3042,2018,242,8,0.03305785123966942
0941-1291,2020,242,0,0
0007-1250,2020,241,1,0.004149377593360996
0741-5400,2018,241,1,0.004149377593360996
0948-7921,2020,241,1,0.004149377593360996
0937-9827,2020,241,0,0
0936-6768,2018,241,2,0.008298755186721992
0950-382X,2019,241,8,0.03319502074688797
0253-2964,2020,241,0,0
2042-6976,2020,241,0,0
2169-8953,2019,241,10,0.04149377593360996
0003-4894,2019,241,0,0
2196-8837,2020,240,0,0
0022-2151,2018,240,0,0
0300-0664,2018,240,0,0
1009-0630,2018,240,5,0.020833333333333332
2169-8953,2020,240,7,0.029166666666666667
0172-0643,2018,240,0,0
0160-564X,2020,240,1,0.004166666666666667
0021-8790,2020,240,11,0.04583333333333333
1018-4813,2019,240,10,0.041666666666666664
1387-3547,2018,239,1,0.0041841004184100415
1099-0496,2018,239,0,0
1807-0302,2019,239,2,0.008368200836820083
1387-3547,2020,239,4,0.016736401673640166
1226-7708,2018,239,0,0
0266-5611,2020,239,13,0.05439330543933055
0307-6938,2019,239,0,0
1552-4450,2018,239,5,0.02092050209205021
0008-4034,2020,239,1,0.0041841004184100415
0003-4894,2020,239,0,0
0306-6800,2019,238,2,0.008403361344537815
1061-4036,2019,238,28,0.11764705882352941
0031-1820,2020,238,0,0
2169-8953,2018,238,5,0.02100840336134454
0148-6071,2020,238,1,0.004201680672268907
0004-8380,2019,238,0,0
0340-6245,2019,238,0,0
0021-9967,2020,238,3,0.012605042016806723
0020-7608,2019,238,4,0.01680672268907563
0272-4340,2020,238,0,0
1447-0594,2019,238,1,0.004201680672268907
1944-7442,2018,238,0,0
1615-9853,2018,238,6,0.025210084033613446
0943-1853,2020,237,0,0
1359-6640,2018,237,9,0.0379746835443038
0009-9163,2018,237,4,0.016877637130801686
0035-9009,2020,237,9,0.0379746835443038
1094-7159,2020,237,2,0.008438818565400843
0169-3913,2018,237,0,0
1570-761X,2018,237,6,0.02531645569620253
1552-4450,2019,237,10,0.04219409282700422
0072-1050,2019,237,0,0
1061-4303,2019,237,0,0
1869-1900,2019,237,0,0
0143-0807,2020,236,0,0
0960-3115,2019,236,0,0
1092-8529,2020,236,0,0
1434-6001,2018,236,5,0.0211864406779661
0906-6705,2018,236,2,0.00847457627118644
2053-1400,2019,236,4,0.01694915254237288
1359-0987,2020,236,5,0.0211864406779661
1125-4653,2020,236,0,0
0003-598X,2019,235,12,0.05106382978723404
0040-5752,2019,235,3,0.01276595744680851
1931-3195,2020,235,0,0
1248-9204,2020,235,0,0
0724-8741,2020,235,5,0.02127659574468085
0016-7622,2018,235,0,0
0946-2171,2018,235,7,0.029787234042553193
0105-1873,2019,235,0,0
0951-418X,2018,234,0,0
1570-761X,2020,234,15,0.0641025641025641
1120-6721,2018,234,0,0
0014-3820,2019,234,8,0.03418803418803419
1749-4885,2019,234,37,0.1581196581196581
0022-0477,2020,234,9,0.038461538461538464
1862-6254,2019,234,12,0.05128205128205128
1123-6337,2020,234,0,0
0364-3190,2019,234,1,0.004273504273504274
0736-0266,2018,234,2,0.008547008547008548
0019-6061,2019,233,0,0
0340-6199,2019,233,3,0.012875536480686695
0749-6753,2018,233,1,0.004291845493562232
2053-2296,2018,233,0,0
1351-8216,2019,233,0,0
1598-9623,2018,233,0,0
1438-2377,2020,233,0,0
1439-6319,2019,233,3,0.012875536480686695
0749-6753,2019,233,0,0
1341-9625,2020,233,0,0
0928-0707,2020,233,2,0.008583690987124463
2475-1421,2020,233,19,0.0815450643776824
2055-0278,2019,232,9,0.03879310344827586
0031-9317,2020,232,5,0.021551724137931036
2052-6121,2020,232,0,0
0276-3478,2020,232,2,0.008620689655172414
0178-2789,2020,232,3,0.01293103448275862
1383-875X,2020,232,0,0
0022-0469,2019,232,1,0.004310344827586207
2059-2302,2018,232,0,0
0268-8921,2019,232,0,0
1360-2357,2019,232,2,0.008620689655172414
0004-8674,2019,232,1,0.004310344827586207
0014-5246,2019,232,0,0
0028-1298,2020,232,2,0.008620689655172414
1557-1874,2020,231,1,0.004329004329004329
0936-6768,2020,231,1,0.004329004329004329
1369-183X,2020,231,9,0.03896103896103896
1383-469X,2020,231,1,0.004329004329004329
0360-3997,2020,231,0,0
2038-131X,2020,231,0,0
0300-0664,2020,231,0,0
1934-1482,2020,231,0,0
2166-2746,2018,231,8,0.03463203463203463
2053-1400,2018,231,3,0.012987012987012988
0021-8782,2020,230,3,0.013043478260869565
1552-4922,2020,230,3,0.013043478260869565
0961-2033,2019,230,1,0.004347826086956522
1129-7298,2018,230,0,0
0172-0643,2019,230,0,0
1557-1955,2020,230,0,0
0964-0282,2020,230,2,0.008695652173913044
1350-9047,2018,230,6,0.02608695652173913
1552-4973,2018,230,3,0.013043478260869565
1569-5794,2019,230,1,0.004347826086956522
0014-2336,2018,230,4,0.017391304347826087
0162-1459,2018,230,2,0.008695652173913044
0309-0167,2018,230,0,0
0167-9899,2019,230,1,0.004347826086956522
1438-7492,2019,230,2,0.008695652173913044
1124-4909,2020,230,1,0.004347826086956522
0032-0935,2018,230,1,0.004347826086956522
0197-9337,2018,229,4,0.017467248908296942
1155-5645,2018,229,0,0
1078-1552,2019,229,0,0
0885-4513,2020,229,0,0
0021-8901,2018,229,2,0.008733624454148471
0267-6591,2020,229,0,0
1869-1870,2019,229,0,0
1674-7305,2019,229,0,0
0269-8463,2020,229,7,0.03056768558951965
1674-1137,2020,229,4,0.017467248908296942
0936-8051,2018,228,0,0
0905-7188,2018,228,1,0.0043859649122807015
0009-4536,2020,228,0,0
0197-3851,2020,228,2,0.008771929824561403
0364-2348,2019,228,0,0
0832-610X,2018,228,0,0
0734-2101,2018,228,5,0.021929824561403508
0966-9582,2020,228,3,0.013157894736842105
0172-0643,2020,228,0,0
2366-9608,2019,228,4,0.017543859649122806
0033-4553,2020,228,2,0.008771929824561403
1469-221X,2018,228,13,0.05701754385964912
0029-5981,2019,228,10,0.043859649122807015
1434-6060,2018,228,3,0.013157894736842105
1248-9204,2019,228,0,0
2151-464X,2019,228,1,0.0043859649122807015
0029-5981,2018,228,9,0.039473684210526314
0040-5752,2018,227,0,0
0167-6857,2020,227,1,0.004405286343612335
0956-4624,2020,227,0,0
1552-4922,2018,227,4,0.01762114537444934
1434-6028,2020,227,3,0.013215859030837005
0025-5874,2019,227,3,0.013215859030837005
0300-8177,2018,227,1,0.004405286343612335
0269-4727,2020,227,0,0
1017-9909,2019,227,0,0
1474-905X,2018,227,4,0.01762114537444934
1000-9515,2018,227,0,0
0951-7715,2020,227,8,0.03524229074889868
1932-2968,2020,227,1,0.004405286343612335
1460-2695,2020,227,1,0.004405286343612335
0931-2439,2019,227,0,0
1570-761X,2019,227,8,0.03524229074889868
2364-1819,2020,226,0,0
0014-5246,2020,226,0,0
0269-8463,2019,226,6,0.02654867256637168
0377-0486,2020,226,8,0.035398230088495575
0340-6199,2018,226,1,0.004424778761061947
1022-1352,2020,226,3,0.01327433628318584
1860-6768,2018,226,17,0.0752212389380531
1061-4303,2020,226,0,0
1863-6705,2019,226,0,0
1018-8827,2020,226,8,0.035398230088495575
1612-2011,2020,226,5,0.022123893805309734
0930-1038,2019,226,0,0
1028-6276,2020,226,0,0
0344-5607,2020,225,0,0
1052-7613,2020,225,2,0.008888888888888889
1022-1360,2020,225,1,0.0044444444444444444
0343-8651,2019,225,0,0
0360-3997,2018,225,0,0
0004-640X,2019,225,1,0.0044444444444444444
0910-8327,2019,225,0,0
0004-8380,2018,225,0,0
1863-9933,2019,225,0,0
0929-5305,2019,225,0,0
0930-1038,2020,225,0,0
1438-7492,2018,225,2,0.008888888888888889
1828-0447,2018,225,0,0
1350-9047,2019,224,11,0.049107142857142856
0001-6349,2018,224,1,0.004464285714285714
0967-3334,2018,224,11,0.049107142857142856
2397-3374,2018,224,5,0.022321428571428572
0340-5761,2018,224,13,0.05803571428571429
0022-3492,2020,224,0,0
1350-1925,2018,224,0,0
1633-8065,2020,224,0,0
1936-9751,2020,224,0,0
0160-5682,2019,224,1,0.004464285714285714
1464-4177,2020,224,1,0.004464285714285714
0019-6061,2018,224,0,0
0718-9508,2020,224,1,0.004464285714285714
0919-8172,2019,224,0,0
0042-0980,2019,224,4,0.017857142857142856
1465-7392,2018,223,16,0.07174887892376682
0425-1644,2018,223,0,0
0040-0262,2020,223,0,0
1752-0894,2019,223,22,0.09865470852017937
1370-4621,2020,223,2,0.008968609865470852
1942-7603,2020,223,0,0
2053-1583,2019,223,43,0.19282511210762332
1397-3142,2018,223,0,0
0936-8051,2019,223,0,0
2168-4790,2020,223,0,0
2058-9883,2020,223,18,0.08071748878923767
1049-7323,2018,223,0,0
1065-6995,2020,223,0,0
0009-5893,2018,222,1,0.0045045045045045045
1860-7179,2019,222,6,0.02702702702702703
1742-6723,2019,222,1,0.0045045045045045045
1671-4083,2018,222,1,0.0045045045045045045
0029-8549,2020,222,6,0.02702702702702703
0945-6317,2018,222,0,0
0748-8017,2020,222,1,0.0045045045045045045
0906-6705,2019,222,1,0.0045045045045045045
0309-0167,2019,222,0,0
1097-0339,2018,222,0,0
0909-0495,2018,222,8,0.036036036036036036
1039-8562,2018,222,0,0
1755-4330,2018,222,20,0.09009009009009009
0905-7188,2019,222,1,0.0045045045045045045
1613-4125,2020,222,2,0.009009009009009009
1552-5260,2020,222,9,0.04054054054054054
1050-6926,2020,222,4,0.018018018018018018
0959-8103,2018,221,0,0
1341-9625,2019,221,0,0
0021-8901,2019,221,8,0.03619909502262444
0040-571X,2018,221,0,0
0954-7894,2018,221,0,0
1520-9512,2019,220,0,0
1049-9091,2020,220,0,0
0952-3480,2020,220,15,0.06818181818181818
1123-6337,2019,220,0,0
1863-2653,2018,220,16,0.07272727272727272
0160-564X,2018,220,1,0.004545454545454545
0951-7715,2018,220,7,0.031818181818181815
0915-5635,2019,220,0,0
1350-1925,2019,220,0,0
1862-6254,2020,220,9,0.04090909090909091
1041-6102,2018,220,2,0.00909090909090909
0937-9827,2018,219,0,0
0305-0270,2018,219,3,0.0136986301369863
0031-9120,2020,219,1,0.0045662100456621
0953-2048,2019,219,12,0.0547945205479452
0172-4622,2020,219,0,0
1018-4813,2020,219,4,0.0182648401826484
0343-2521,2020,219,0,0
1660-5446,2018,219,0,0
0040-6376,2018,219,5,0.0228310502283105
0022-0345,2020,219,2,0.0091324200913242
1734-1140,2019,219,0,0
0048-5772,2020,219,7,0.0319634703196347
0734-2101,2019,219,2,0.0091324200913242
1672-6316,2020,219,0,0
0077-8923,2019,219,5,0.0228310502283105
0009-9228,2019,219,0,0
2058-7546,2019,218,8,0.03669724770642202
0278-7407,2020,218,5,0.022935779816513763
1398-2273,2018,218,0,0
0721-3115,2019,218,1,0.0045871559633027525
0377-7332,2018,218,0,0
1547-7029,2019,218,0,0
1951-6355,2019,218,8,0.03669724770642202
0001-5172,2020,218,0,0
2366-9608,2020,218,3,0.013761467889908258
1748-3387,2020,218,24,0.11009174311926606
1742-2132,2018,218,0,0
0278-7407,2018,218,2,0.009174311926605505
2330-1619,2020,218,0,0
1552-4922,2019,218,5,0.022935779816513763
1862-6254,2018,218,6,0.027522935779816515
1045-389X,2020,218,1,0.0045871559633027525
0014-2336,2019,218,1,0.0045871559633027525
2166-2746,2019,218,6,0.027522935779816515
0886-0440,2018,218,0,0
0885-6230,2020,218,2,0.009174311926605505
2367-198X,2018,217,2,0.009216589861751152
0961-5423,2019,217,2,0.009216589861751152
0094-3061,2020,217,0,0
1356-1294,2018,217,1,0.004608294930875576
0014-2980,2019,217,9,0.041474654377880185
2050-7887,2019,217,5,0.02304147465437788
0040-5752,2020,217,1,0.004608294930875576
0010-3853,2020,217,0,0
0004-0002,2018,217,0,0
0177-0667,2019,217,1,0.004608294930875576
0741-5400,2019,217,2,0.009216589861751152
0305-1870,2020,217,0,0
1229-8557,2018,217,1,0.004608294930875576
2053-2296,2019,217,1,0.004608294930875576
0004-8674,2020,217,0,0
2050-7887,2020,217,5,0.02304147465437788
2055-6756,2020,217,9,0.041474654377880185
1320-5358,2019,217,0,0
0945-6317,2019,217,0,0
1464-4177,2019,217,1,0.004608294930875576
1755-4330,2020,217,8,0.03686635944700461
0895-8696,2019,217,1,0.004608294930875576
0031-1820,2018,216,1,0.004629629629629629
0721-3115,2020,216,0,0
0303-6987,2019,216,0,0
1350-9047,2020,216,2,0.009259259259259259
1387-585X,2018,216,0,0
1598-2351,2018,216,0,0
0090-6964,2018,216,5,0.023148148148148147
0142-2421,2018,216,2,0.009259259259259259
2166-2746,2020,216,1,0.004629629629629629
1155-5645,2019,216,0,0
0026-1394,2020,216,1,0.004629629629629629
0253-6102,2018,216,0,0
0307-0565,2020,216,3,0.013888888888888888
2199-692X,2020,216,3,0.013888888888888888
1435-9529,2018,216,0,0
0303-8300,2018,216,1,0.004629629629629629
1594-0667,2018,215,5,0.023255813953488372
0167-9899,2018,215,1,0.004651162790697674
2057-1976,2019,215,5,0.023255813953488372
2397-3374,2020,215,10,0.046511627906976744
1569-5794,2018,215,1,0.004651162790697674
0001-5172,2019,215,2,0.009302325581395349
1753-1934,2018,215,0,0
0022-4197,2019,214,0,0
1931-7557,2020,214,1,0.004672897196261682
0006-3088,2019,214,0,0
0042-0980,2020,214,3,0.014018691588785047
0954-4054,2020,214,2,0.009345794392523364
0954-4100,2019,214,5,0.02336448598130841
0143-005X,2020,214,15,0.07009345794392523
0377-0486,2018,214,8,0.037383177570093455
1481-8035,2020,214,0,0
0021-1265,2018,214,0,0
0031-9120,2019,214,1,0.004672897196261682
1063-7818,2019,214,0,0
1041-6102,2019,214,0,0
0958-0670,2019,213,0,0
0016-7622,2019,213,0,0
0026-9247,2018,213,1,0.004694835680751174
2058-7546,2020,213,15,0.07042253521126761
1078-1552,2018,213,0,0
1869-1870,2018,213,1,0.004694835680751174
1756-5901,2020,213,3,0.014084507042253521
0307-0565,2019,213,4,0.018779342723004695
2398-9629,2020,213,7,0.03286384976525822
2251-6581,2020,213,0,0
0934-0874,2020,212,1,0.0047169811320754715
0009-4536,2018,212,0,0
1053-8569,2020,212,2,0.009433962264150943
0916-9636,2020,212,0,0
1672-6316,2019,212,0,0
1865-7265,2020,212,0,0
1063-7818,2018,212,0,0
1054-660X,2020,212,3,0.014150943396226415
0021-9967,2019,211,2,0.009478672985781991
1674-4527,2020,211,1,0.004739336492890996
1045-389X,2019,211,2,0.009478672985781991
1546-542X,2020,211,1,0.004739336492890996
0165-0009,2018,211,5,0.023696682464454975
2190-6815,2019,211,5,0.023696682464454975
1039-8562,2019,211,0,0
0141-9870,2018,211,4,0.018957345971563982
0269-8463,2018,211,7,0.03317535545023697
0893-3952,2019,211,2,0.009478672985781991
0302-766X,2018,211,3,0.014218009478672985
0885-8195,2019,211,0,0
2053-1583,2020,211,51,0.24170616113744076
0009-4722,2020,211,0,0
0947-5117,2020,210,0,0
1097-0339,2019,210,0,0
1040-0400,2019,210,0,0
1672-6316,2018,210,0,0
0895-8696,2018,210,0,0
0047-2891,2019,210,2,0.009523809523809525
0962-1105,2020,210,3,0.014285714285714285
0960-1317,2019,210,4,0.01904761904761905
1756-5901,2019,210,7,0.03333333333333333
1442-6404,2018,210,0,0
1749-4478,2018,210,0,0
0721-7595,2020,210,0,0
1049-0965,2019,210,0,0
1040-0400,2020,210,0,0
1356-1294,2019,209,0,0
0888-8892,2020,209,4,0.019138755980861243
0909-0495,2020,209,16,0.07655502392344497
1369-183X,2018,209,2,0.009569377990430622
1557-1955,2018,209,2,0.009569377990430622
0031-8655,2018,209,2,0.009569377990430622
0022-0477,2018,209,12,0.05741626794258373
0947-5117,2019,209,1,0.004784688995215311
1099-2871,2019,209,0,0
0944-2669,2019,209,7,0.03349282296650718
1521-6543,2020,209,0,0
1461-023X,2019,209,9,0.0430622009569378
0888-8892,2018,209,3,0.014354066985645933
2566-6223,2020,209,17,0.08133971291866028
1541-6933,2019,209,0,0
2156-8650,2019,209,0,0
0910-8327,2018,209,0,0
1527-6465,2018,209,1,0.004784688995215311
2168-4790,2019,209,0,0
1612-510X,2019,209,0,0
0021-9967,2018,209,4,0.019138755980861243
1396-0296,2018,208,0,0
1060-0280,2020,208,0,0
0965-4313,2019,208,6,0.028846153846153848
1092-7875,2018,208,0,0
1674-7305,2018,208,0,0
0887-624X,2019,208,0,0
0167-6857,2019,208,2,0.009615384615384616
0961-8368,2020,208,7,0.03365384615384615
1868-8527,2019,208,1,0.004807692307692308
1932-8486,2020,208,2,0.009615384615384616
1931-7557,2018,207,1,0.004830917874396135
1007-662X,2019,207,1,0.004830917874396135
1861-1125,2020,207,5,0.024154589371980676
1065-6995,2019,207,0,0
0162-1459,2020,207,2,0.00966183574879227
0953-2048,2018,207,10,0.04830917874396135
1535-3958,2020,207,0,0
1069-6563,2018,207,0,0
1749-4478,2019,207,0,0
1356-1294,2020,207,3,0.014492753623188406
2573-0142,2020,207,1,0.004830917874396135
1121-8428,2020,207,1,0.004830917874396135
0022-4197,2018,207,0,0
0162-1459,2019,207,3,0.014492753623188406
1420-9012,2019,207,1,0.004830917874396135
0284-1851,2019,207,0,0
0921-2973,2020,207,7,0.033816425120772944
0002-9483,2020,207,7,0.033816425120772944
0003-150X,2020,207,0,0
1521-6543,2019,207,0,0
1863-1703,2019,206,1,0.0048543689320388345
1125-4653,2018,206,6,0.02912621359223301
0040-5175,2020,206,0,0
0040-6376,2019,206,3,0.014563106796116505
1474-905X,2020,206,6,0.02912621359223301
1941-6636,2020,206,0,0
1050-6926,2019,206,7,0.03398058252427184
0010-3616,2018,206,20,0.0970873786407767
0026-9247,2019,206,0,0
1059-910X,2019,206,0,0
0003-6072,2018,206,2,0.009708737864077669
1741-2552,2019,206,6,0.02912621359223301
2095-8226,2018,206,0,0
1561-8625,2020,206,0,0
0006-341X,2020,206,0,0
0022-3492,2018,206,0,0
1097-6256,2020,206,7,0.03398058252427184
2662-1355,2020,205,5,0.024390243902439025
1615-7591,2020,205,1,0.004878048780487805
0017-8748,2018,205,0,0
0160-564X,2019,205,0,0
0192-8651,2020,205,9,0.04390243902439024
1438-2377,2019,205,6,0.02926829268292683
1387-1307,2019,205,0,0
1615-7591,2019,205,1,0.004878048780487805
0025-5874,2018,205,2,0.00975609756097561
0002-9483,2019,205,7,0.03414634146341464
1557-1955,2019,205,1,0.004878048780487805
0303-8300,2019,205,3,0.014634146341463415
0009-4722,2019,205,0,0
1756-1841,2018,205,0,0
1045-389X,2018,205,0,0
0020-7128,2020,205,5,0.024390243902439025
0021-8790,2019,204,6,0.029411764705882353
1054-2523,2019,204,0,0
2520-1158,2018,204,8,0.0392156862745098
2159-6867,2018,204,4,0.0196078431372549
1861-6410,2019,204,11,0.05392156862745098
1124-4909,2019,204,0,0
0954-4070,2018,204,0,0
2364-1819,2018,204,0,0
1092-7875,2020,204,0,0
0936-6768,2019,204,1,0.004901960784313725
1028-6276,2018,204,0,0
0261-3050,2018,204,0,0
0954-3899,2020,204,12,0.058823529411764705
1618-5641,2019,203,0,0
1063-7818,2020,203,0,0
1932-2968,2019,203,1,0.0049261083743842365
0924-669X,2019,203,1,0.0049261083743842365
0179-0358,2018,203,1,0.0049261083743842365
1323-7799,2020,203,0,0
0009-9228,2020,203,0,0
0003-150X,2019,203,0,0
1615-9853,2019,203,1,0.0049261083743842365
0006-341X,2019,203,0,0
0921-0296,2018,203,7,0.034482758620689655
0012-6667,2020,203,0,0
0022-4715,2020,203,17,0.08374384236453201
0024-3590,2020,202,9,0.04455445544554455
0954-4070,2019,202,1,0.0049504950495049506
0722-4060,2018,202,2,0.009900990099009901
1755-4330,2019,202,20,0.09900990099009901
0004-8674,2018,202,0,0
0043-1656,2020,202,0,0
1350-7303,2020,202,0,0
0003-150X,2018,202,0,0
0951-7715,2019,202,11,0.054455445544554455
0031-6970,2018,201,1,0.004975124378109453
0303-402X,2018,201,1,0.004975124378109453
0021-8898,2018,201,3,0.014925373134328358
1464-8849,2018,201,0,0
0916-9636,2019,201,0,0
0137-5881,2018,201,0,0
1868-8527,2018,201,1,0.004975124378109453
0885-7474,2019,201,8,0.03980099502487562
0885-6230,2018,201,1,0.004975124378109453
2047-2919,2020,201,1,0.004975124378109453
0893-3952,2018,201,1,0.004975124378109453
1573-3149,2019,201,0,0
0022-0345,2019,201,0,0
1085-3278,2019,200,3,0.015
1053-8569,2019,200,2,0.01
1436-9990,2019,200,1,0.005
1742-6723,2018,200,0,0
0964-4563,2020,200,0,0
1611-3683,2018,200,1,0.005
0024-3590,2019,200,14,0.07
0930-1038,2018,200,0,0
0272-4332,2020,200,4,0.02
2041-210X,2019,200,10,0.05
0284-1851,2018,200,0,0
2573-0142,2018,200,8,0.04
1861-6410,2018,200,7,0.035
0031-9120,2018,200,2,0.01
1878-5190,2020,199,0,0
1562-2479,2020,199,0,0
0090-4392,2020,199,0,0
0972-1509,2019,199,0,0
1861-0684,2020,199,0,0
0012-6667,2019,199,0,0
1674-4799,2020,199,0,0
1351-0711,2020,199,1,0.005025125628140704
1863-1703,2020,199,0,0
0197-3851,2019,199,1,0.005025125628140704
0303-402X,2020,199,4,0.020100502512562814
0253-6102,2019,199,0,0
0954-7894,2019,199,4,0.020100502512562814
0145-8876,2018,199,1,0.005025125628140704
0377-7332,2019,198,1,0.005050505050505051
1052-7613,2019,198,5,0.025252525252525252
1528-0837,2020,198,1,0.005050505050505051
1517-8382,2020,198,0,0
0300-0664,2019,198,1,0.005050505050505051
0144-686X,2020,198,0,0
1618-954X,2020,198,1,0.005050505050505051
0046-5070,2019,198,1,0.005050505050505051
0278-7407,2019,198,4,0.020202020202020204
1522-7235,2020,198,0,0
0333-1024,2020,198,0,0
1017-1398,2020,198,2,0.010101010101010102
0950-382X,2020,198,6,0.030303030303030304
0741-238X,2018,198,0,0
1383-469X,2018,197,0,0
0020-9554,2020,197,0,0
1863-8880,2020,197,13,0.06598984771573604
0026-9298,2018,197,0,0
0019-5480,2018,197,0,0
0959-3993,2019,197,4,0.02030456852791878
0961-8368,2018,197,2,0.01015228426395939
1354-523X,2019,197,1,0.005076142131979695
1933-7191,2018,197,1,0.005076142131979695
2524-3462,2020,197,1,0.005076142131979695
0140-7791,2019,197,7,0.03553299492385787
1941-7012,2019,197,1,0.005076142131979695
0019-5413,2020,196,0,0
0947-7411,2020,196,1,0.00510204081632653
0915-5635,2018,196,0,0
1370-4621,2019,196,1,0.00510204081632653
1017-1398,2019,196,6,0.030612244897959183
0263-5747,2019,196,9,0.04591836734693878
2210-3988,2018,196,0,0
1465-7392,2019,196,10,0.05102040816326531
1431-2174,2018,196,1,0.00510204081632653
1674-1137,2018,196,1,0.00510204081632653
0028-3940,2019,196,1,0.00510204081632653
0890-1171,2020,196,0,0
2212-134X,2019,196,0,0
0022-0477,2019,196,9,0.04591836734693878
0360-3997,2019,196,0,0
0009-9163,2020,195,0,0
1517-8382,2018,195,1,0.005128205128205128
1009-0630,2019,195,5,0.02564102564102564
0022-541X,2018,195,1,0.005128205128205128
1369-4332,2018,195,0,0
1708-5381,2020,195,0,0
0043-2288,2020,195,4,0.020512820512820513
0959-5236,2020,195,0,0
1442-6404,2019,195,0,0
2398-9629,2018,195,4,0.020512820512820513
1042-9670,2020,195,0,0
0317-1671,2019,195,0,0
0043-1656,2019,195,0,0
1061-4036,2020,195,17,0.08717948717948718
1370-4621,2018,195,0,0
0021-8782,2019,194,6,0.030927835051546393
2042-6976,2018,194,0,0
0031-8116,2018,194,2,0.010309278350515464
1547-7029,2018,194,0,0
1435-2443,2020,194,0,0
0018-2648,2020,194,1,0.005154639175257732
0031-6970,2019,194,1,0.005154639175257732
2057-1976,2020,194,2,0.010309278350515464
1461-023X,2020,194,11,0.05670103092783505
1472-0205,2018,194,0,0
2520-1158,2019,194,14,0.07216494845360824
1939-3806,2020,194,4,0.020618556701030927
0018-2648,2018,193,0,0
0028-3320,2019,193,0,0
0300-9009,2019,193,0,0
0253-6102,2020,193,0,0
1362-3613,2020,193,0,0
0300-9009,2018,193,1,0.0051813471502590676
0925-1030,2019,193,0,0
0253-505X,2018,193,0,0
0003-3804,2019,193,3,0.015544041450777202
1203-4754,2020,193,0,0
1352-0504,2020,193,1,0.0051813471502590676
0044-2275,2020,193,2,0.010362694300518135
1001-8042,2019,193,0,0
2199-692X,2019,193,1,0.0051813471502590676
1742-7835,2018,193,6,0.031088082901554404
0940-5429,2019,193,1,0.0051813471502590676
0276-3478,2019,193,0,0
0733-4648,2020,193,0,0
0925-9864,2020,193,0,0
0265-9247,2018,192,5,0.026041666666666668
0137-5881,2019,192,1,0.005208333333333333
1936-6442,2020,192,0,0
